kwN,kwnoN,cwgN,cwgnoN,clnN,clnnoN,cwdN,cwdnoN
4.539631028,4.743716541,13.13504911,10.88364707,11.22392429,10.60064338,23.51318976,22.44408984
4.929841332,4.953199876,12.29497089,12.57299889,12.5316638,11.49623149,23.52265523,24.41369039
5.26206378,3.895214028,14.70614656,12.72122548,11.55734441,11.12809746,24.28493946,26.04903837
4.589083815,3.950916417,11.80327954,12.22151253,9.216382121,11.85582069,23.20821784,19.6599427
4.9213931,4.885790662,13.46023521,12.48077314,11.87991683,11.47577096,21.17290212,24.75889594
5.23023395,4.424846227,12.43216188,12.71302185,10.37079778,13.01792977,21.93996524,20.99450865
5.003635708,5.368898286,12.42263512,13.75616197,11.32343976,12.36022074,23.83555205,21.57988959
3.903885384,3.817812389,20.00938375,13.15151904,13.28344306,12.56223868,23.93104601,23.52098544
4.55195839,4.053288647,19.18904645,10.57886172,13.03534494,12.09124413,22.10904485,21.63153038
4.506533012,3.315788723,11.08053707,11.2810192,10.9722927,11.02334776,20.29252245,24.47861098
4.772051281,3.148807507,12.29220681,11.48454409,10.96804437,10.54778565,21.40248724,22.97400747
4.790296358,5.094502516,13.29414967,12.08353013,13.48960603,11.52357195,23.29151717,21.80871934
4.798307963,4.385297459,15.45544025,12.03560498,14.02140182,13.26840626,22.70238159,21.63714744
4.169661909,5.154097052,16.10991931,12.061288,12.82051518,11.76508295,23.09103587,25.22697102
4.580484377,4.724494583,14.7297403,11.49481542,12.27549507,12.15400166,22.36706486,24.64878926
5.353166883,5.315197978,13.07912999,13.20205626,11.94565105,11.53686228,25.24603866,22.39503289
4.918050069,5.422598595,13.46973884,11.22523514,11.65750461,11.06278068,21.02432211,21.87629162
3.435755174,5.205817062,10.94817181,11.04884586,11.14881603,12.01238194,19.61897913,21.47812124
4.802977099,5.51300394,11.57030958,12.27771274,10.81835156,11.25450889,20.96995432,22.75528159
4.212238934,5.207797361,12.53309897,10.12552774,12.60614257,11.3095245,19.88458073,26.57910717
4.730142279,2.824647053,12.23619578,12.75257029,12.0919669,10.89132628,24.22550745,26.67870943
4.321036685,4.724494583,13.37954544,12.38824252,11.4587482,11.12034861,24.63763059,24.74282239
4.961105279,4.379779012,11.37675967,13.17784049,12.92506256,11.98137836,23.83594372,21.79185391
6.339142532,3.817431358,12.32294637,13.20402433,12.54638797,11.89815499,22.73964828,26.14254328
4.791019221,3.80303907,12.39781943,13.37875607,9.90677249,11.71454718,24.67124749,19.73777424
5.498032289,3.897121301,13.27174383,10.70429309,12.40569027,13.44845766,20.43787845,20.21904339
4.190035526,4.043877144,12.61709144,12.95321515,13.29864153,12.65954609,24.01290131,22.07197641
4.203760971,4.056386951,12.9021937,11.58080195,12.09095908,12.64732107,19.96877121,23.63903964
4.193355769,5.207797361,10.35925155,11.64417755,11.84266266,10.85974212,22.13447458,21.92142916
4.186257355,4.155064132,13.60503553,11.02042473,11.13119083,11.87489248,22.48824387,22.72415657
5.178504871,4.466922413,10.75956866,12.1798881,11.30255916,12.00517872,22.27485429,21.95090519
5.425508079,4.669929936,11.07136979,10.28322872,11.40961377,11.59536462,20.43825376,20.19561349
5.413189743,5.286416837,11.65375508,11.64620709,9.553949113,10.95125175,21.5777744,21.40859168
5.302711551,3.653157597,12.08548148,10.89265228,12.16962999,10.86877511,21.5674007,23.25450786
4.880575496,4.698920293,16.70538031,12.17567844,11.56199898,10.33696327,21.94983802,23.69524145
4.894300941,5.991660027,14.12269306,12.99792403,12.55756773,10.5625321,26.45765826,20.3880282
5.540617474,4.707499311,13.00246014,12.5706535,13.80408363,12.21406434,24.41655531,21.11693424
4.021837569,5.368898286,10.18644387,13.37919408,13.22553703,12.32624989,21.98843814,22.11619437
5.602807239,3.518508316,13.50544423,12.61876604,10.46208514,11.76917801,21.22050861,24.35504481
3.503321225,4.814899928,11.96060911,9.831612859,13.27908863,11.96360606,21.38071155,27.00654417
4.674065497,6.533309804,10.52770617,11.63798518,11.94158999,13.21548553,23.61681844,22.80393456
5.346453128,5.627703054,13.44656425,11.58369121,11.22343944,12.66122944,19.52339844,19.81963913
5.210798427,4.954905389,10.48410193,11.48696478,12.61374643,10.46018293,21.49356773,22.0292968
5.326379905,4.70262593,10.00139063,13.02102924,11.94536349,12.49223546,20.66214459,22.61771114
5.005143786,4.081576203,13.54161308,10.67037107,9.954608907,11.87675587,20.40980519,20.33985843
4.310152204,4.436530319,17.80738655,11.33714764,13.12321249,11.1662517,20.43255947,19.27714496
