"","value"
"NC264",11.2229712882908
"NC268",11.731846989365
"NC290A",12.5065851167798
"NC292",13.3259460289599
"NC294",11.7999774185638
"NC296",10.018175753307
"NC298",13.1314069165004
"NC302",11.6605317069232
"NC304",11.3872781609341
"NC306",11.1188598431393
"NC308",12.7400729719103
"NC310",13.3168302090053
"NC312",12.5698867885564
"NC316",11.644598063021
"NC318",10.596186514498
"NC320",11.3477921554884
"NC324",12.2075869937475
"NC326",19.1026999094649
"NC328",12.9165736281849
"NC330",14.4239631195069
"NC332",12.7991866908537
"NC334",10.9082525101935
"NC336",11.9636313704702
"NC338",13.3537131263587
"NC340",13.69803907821
"NC342",13.9251892453152
"NC344",12.5534781990356
"NC346",11.6958080339616
"NC348",11.7802509466921
"NC350",11.4342420891514
"NC352",12.239382888704
"NC354",11.1399817362376
"NC356",10.5808103933582
"NC358",12.2594307644912
"NC360",13.5313990447371
"NC362",12.2945724110602
"NC364",12.1372040637798
"NC366",12.1195198889401
"NC368",12.4435161181737
"NC370",12.5650630203889
"NC372",12.8067565699646
"ND246",12.1770470607643
"Oh40B",11.8169356137108
"Oh43",12.069046620154
"Oh43E",11.0622469734135
"Oh603",11.659405983437
"Oh7B",13.5752187010335
"Os420",13.1587772813062
"Pa762",15.3933276284468
"Pa875",11.0408276308124
"Pa880",14.406335788751
"Pa91",12.7776469998085
"R168",12.1079776593288
"R177",13.5423160284141
"R229",12.2282641043256
"SC357",13.1316987091696
"SC55",12.0864990732277
"SD40",11.7489838831751
"SD44",11.3994570629599
"T232",12.3428535645601
"T234",12.9141683195911
"T8",12.5093963811029
"Tx601",13.56046211391
"Tzi11",11.1835971483063
"Tzi18",17.3754201323586
"Tzi25",13.3790194113875
"Tzi8",11.9690892526845
"Tzi9",11.6955596889383
"Va102",11.8290069203042
"Va22",12.8054855101566
"Va26",12.6539990700283
"Va35",12.8080461403531
"Va59",13.2984347047084
"Va85",12.5162619002612
"Va99",12.5604928196365
"VaW6",13.1276320536428
"W153R",10.3186797547981
"W182B",12.4541648131114
"W22",12.6913205774975
"W401",12.9153137002551
"W64A",12.8375693583761
"Wf9",16.2475501050783
"Yu796_NS",11.6604747633352
"38-11Goodman-Buckler",12.4763956867498
"A214NGoodman-Buckler",12.5736622559276
"A641",12.6092553992804
"B10",13.4415797823676
"Check",12.6798106766247
"CI187-2",11.6549236908315
"CI31A",11.8427544802837
"CI44",13.2039407703745
"CI7Goodman-Buckler",12.933719038927
"CI90CGoodman-Buckler",11.6901600221725
"CML154Q",18.4793809753934
"CML322",12.4289995036508
"I29",12.6096852075599
"IA2132",12.3608623681907
"Ia5125",11.0118680048005
"IDS28",11.2497779460029
"IDS91",11.6077754636675
"Il101T",11.3244573087677
"Ki44",10.265382365002
"KUI2021",12.5533467633175
"Ky226",13.4222158312363
"N7A",12.3991285957966
"NC232",15.6567999785815
"P39",11.051484922984
"SA24",11.7453062369779
"Sg1533",12.0466226176186
"SG18",11.9388756524112
"W117HT",10.8180747772933
