"","value"
"NC302",20.3380551664082
"NC306",21.9696529577705
"NC308",22.4688511816021
"NC310",25.1120633836477
"NC312",21.3666098586983
"NC316",22.8105329798406
"NC318",17.3028411691855
"NC320",21.7175560055026
"NC324",21.5144004366293
"NC326",26.5649415961815
"NC328",25.3335182613087
"NC330",24.7434384351464
"NC332",21.6383953903732
"NC334",17.6183934235158
"NC336",22.2108711094046
"NC338",22.6559534732572
"NC340",24.3304094047122
"NC342",23.7699126099444
"NC344",23.0189439396822
"NC346",21.2109111826814
"NC348",19.6944985540384
"NC352",21.9053732878425
"NC356",21.4316282791392
"NC358",21.4317842006325
"NC360",21.8985474819247
"NC362",22.7621862637337
"NC364",24.9644267985403
"NC366",21.9547357508411
"NC368",25.3016421804332
"NC370",21.8539299692377
"NC372",25.2855800114143
"ND246",19.7164354824301
"Oh40B",20.9759246298214
"Oh43",23.623100846987
"Oh43E",22.3096210703433
"Oh603",20.7072061375617
"Oh7B",22.0085340279736
"Os420",25.6971576382319
"P39",19.5206510268494
"Pa762",23.6508403690437
"Pa875",19.9169769166011
"Pa880",24.9554352425403
"Pa91",22.9133361663019
"R168",19.5630947565345
"R177",21.8998741959169
"R229",24.0601737333086
"R4",22.71562275738
"SA24",18.9378405177931
"SC357",22.1301835424378
"SC55",23.1173738585616
"SD40",22.3690427398916
"SD44",23.5006295888865
"Sg1533",19.7385815236734
"SG18",19.2978939953036
"T232",21.1366948542689
"T234",22.082220089422
"T8",19.5622699343846
"Tx601",24.818809660191
"Tzi11",20.9587677483795
"Tzi18",25.0114841379503
"Tzi25",22.8278048291351
"Tzi8",21.396234153147
"Tzi9",22.8304203687503
"Va102",22.9808809771195
"Va22",22.0752284401875
"Va26",24.2486352978717
"Va35",22.1640839875032
"Va59",20.565010309104
"Va85",22.5769694569626
"Va99",22.2180507778499
"VaW6",22.9682815625381
"W117HT",21.9199371045381
"W153R",20.6388286016577
"W182B",20.5549441783012
"W22",24.0575120534758
"W401",20.9994215155928
"W64A",24.0977765766869
"Wf9",22.6545853169969
"Yu796_NS",20.6934815420321
"B52",21.0749551950146
"CI66",22.5642244389483
"CML287",20.7947096177317
"CML91",20.4565958440764
"CML92",24.1665003795994
"F6",20.3552376877483
"GT112",22.883116003772
"I137TN",23.7071477393832
"Ky228",20.8301302630226
"Mo.G",24.5430062167587
"Ms71",22.3114366073459
"NC238",21.7086348550634
"NC304",23.1281357555997
"NC350",20.1771706358612
"NC354",22.4281079142393
