"","value"
"NC312",5.15881993393564
"NC316",4.43273622777357
"NC318",4.15166602426326
"NC320",4.81951000970423
"NC324",4.51520052750709
"NC326",4.42346560209292
"NC328",4.40754651361726
"NC330",4.44886153362444
"NC332",4.50954895113548
"NC334",4.32764042635591
"NC336",5.68268605681631
"NC338",5.24002148925657
"NC340",5.89218286838771
"NC342",5.15633096706419
"NC344",4.48187121149625
"NC346",5.81110370347704
"NC348",5.22003415166444
"NC350",4.91522686490939
"NC352",5.84015321669226
"NC354",4.86312357656752
"NC356",4.66436636337869
"NC358",4.43852245657765
"NC360",5.08502178961244
"NC362",4.60221043018072
"NC364",4.49823721879095
"NC366",5.75756419970482
"NC368",6.16017344473414
"NC370",5.24527755036584
"NC372",4.28717073137268
"ND246",3.42959260591835
"Oh40B",4.58693537995104
"Oh43",4.30564584091639
"Oh43E",4.61962615412495
"Oh603",5.20492905773347
"Oh7B",5.41855748346219
"Os420",4.73436416299088
"Pa762",5.12727036206924
"Pa875",4.5402005567863
"Pa880",4.76368481649646
"Pa91",5.08073319466766
"R168",3.23716881581468
"R177",5.23348898227713
"R229",4.70330196762025
"SC357",4.07984057696253
"SC55",5.02704278170781
"SD40",4.64371703031442
"SD44",4.69087489817604
"T232",6.58458703235181
"T234",5.35237167431609
"T8",4.95184593830423
"Tzi11",4.36303190538471
"Tzi18",5.20967313620706
"Tzi25",5.26446224255684
"Tzi8",5.34490598049287
"Tzi9",5.37785472861012
"Va102",4.56497945081326
"Va22",4.37560322153341
"Va26",4.55362433565753
"Va35",5.45136559067539
"Va59",4.82443872665056
"Va85",5.92589864535854
"Va99",4.990714703863
"VaW6",5.5413591423138
"W153R",4.48785640276888
"W182B",3.81254388376841
"W22",4.02229557948456
"W401",3.92011070120633
"W64A",4.25064466047283
"Wf9",4.56662503483817
"Yu796_NS",4.79738487310881
"38-11Goodman-Buckler",4.50965988571896
"A214NGoodman-Buckler",5.60301483780041
"Check",5.77577177687801
"CI31A",4.64337808628584
"CI7Goodman-Buckler",5.0275648630207
"CI90CGoodman-Buckler",3.79034741724431
"CML154Q",4.68139123738028
"CML322",4.10660948685197
"I29",4.39255868182493
"IA2132",4.30923621906233
"IDS91",3.78613246612033
"KUI2021",4.1913124815578
"Ky226",4.61920512246361
"NC232",4.87515776899422
"R4",3.91357905707996
"SA24",3.89173654616452
"Sg1533",3.82812768678848
"SG18",3.43886444991379
