Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
A682,+N,19.75,6.05,12.5,4.8
A682,+N,19.75,6.05,12.5,5
A682,+N,19.75,6.05,15.76666667,4.8
A682,+N,19.75,6.05,15.76666667,5
A682,+N,19.75,16,12.5,4.8
A682,+N,19.75,16,12.5,5
A682,+N,19.75,16,15.76666667,4.8
A682,+N,19.75,16,15.76666667,5
A682,+N,20.73333333,6.05,12.5,4.8
A682,+N,20.73333333,6.05,12.5,5
A682,+N,20.73333333,6.05,15.76666667,4.8
A682,+N,20.73333333,6.05,15.76666667,5
B103,+N,,9.54,12.36,5
B103,+N,20.76,9.54,12.36,5
B104,+N,24.475,13.56,11.1,5.2
B104,+N,24.475,13.56,11.1,5
B104,+N,24.475,13.56,11.36,5.2
B104,+N,24.475,13.56,11.36,5
B104,+N,24.475,13.775,11.1,5.2
B104,+N,24.475,13.775,11.1,5
B104,+N,24.475,13.775,11.36,5.2
B104,+N,24.475,13.775,11.36,5
B104,+N,28.8,13.775,11.1,5.2
B104,+N,28.8,13.775,11.1,5
B104,+N,28.8,13.775,11.36,5.2
B104,+N,28.8,13.775,11.36,5
B104,+N,28.8,13.56,11.1,5.2
B104,+N,28.8,13.56,11.1,5
B104,+N,28.8,13.56,11.36,5.2
B104,+N,28.8,13.56,11.36,5
B105,+N,,15.7,10.6,3.7
B105,+N,28.3,15.7,10.6,3.7
B109,+N,24.65,12.15,12.85,4.2
B109,+N,24.65,12.15,12.85,4.5
B109,+N,24.65,12.15,12,4.2
B109,+N,24.65,12.15,12,4.5
B109,+N,27.225,12.05,12.85,4.2
B109,+N,27.225,12.05,12.85,4.5
B109,+N,27.225,12.05,12,4.2
B109,+N,27.225,12.05,12,4.5
B109,+N,24.65,12.05,12.85,4.2
B109,+N,24.65,12.05,12.85,4.5
B109,+N,24.65,12.05,12,4.2
B109,+N,24.65,12.05,12,4.5
B109,+N,27.225,12.15,12.85,4.2
B109,+N,27.225,12.15,12.85,4.5
B109,+N,27.225,12.15,12,4.2
B109,+N,27.225,12.15,12,4.5
B14A,+N,,12.05,12.55,4.8
B14A,+N,22.15,12.05,12.55,4.8
B164,+N,21.93333333,13.8,15.1,4.7
B164,+N,21.93333333,13.8,15.1,3.6
B164,+N,20.66666667,30.66666667,11.33333333,4.7
B164,+N,20.66666667,30.66666667,11.33333333,3.6
B164,+N,20.66666667,13.8,15.1,4.7
B164,+N,20.66666667,13.8,15.1,3.6
B164,+N,21.93333333,13.8,11.33333333,4.7
B164,+N,21.93333333,13.8,11.33333333,3.6
B164,+N,20.66666667,30.66666667,15.1,4.7
B164,+N,20.66666667,30.66666667,15.1,3.6
B164,+N,21.93333333,30.66666667,11.33333333,4.7
B164,+N,21.93333333,30.66666667,11.33333333,3.6
B164,+N,21.93333333,30.66666667,15.1,4.7
B164,+N,21.93333333,30.66666667,15.1,3.6
B164,+N,20.66666667,13.8,11.33333333,4.7
B164,+N,20.66666667,13.8,11.33333333,3.6
B37,+N,23.75,7.3,13.3,4.6
B37,+N,23.75,7.3,13.3,5.5
B37,+N,23.75,16.675,11.28,4.6
B37,+N,23.75,16.675,11.28,5.5
B37,+N,23.75,7.3,11.28,4.6
B37,+N,23.75,7.3,11.28,5.5
B37,+N,18.2,16.675,13.3,4.6
B37,+N,18.2,16.675,13.3,5.5
B37,+N,18.2,7.3,11.28,4.6
B37,+N,18.2,7.3,11.28,5.5
B37,+N,23.75,16.675,13.3,4.6
B37,+N,23.75,16.675,13.3,5.5
B37,+N,18.2,16.675,11.28,4.6
B37,+N,18.2,16.675,11.28,5.5
B37,+N,18.2,7.3,13.3,4.6
