Genotype	HN Cob Width	HN Cob Weight	HN Cob Length	HN 20 Kernel Weight	LN Cob Width 2019	LN Cob Weight	LN Cob Length	LN 20 Kernel Weight
A239	20.15	8.05	13.16666667	7	23.04	8.34	12.6	4.8
A239	20.15	11.66	13.16666667	5.5	19.92	6.52	12.6	4.8
A239	20.15	11.66	13.16666667	5.5	23.04	8.34	11.8	4.8
A239	20.15	11.66	13.16666667	5.5	23.04	6.52	12.6	4.8
A239	20.15	11.66	13.16666667	5.5	19.92	8.34	12.6	4.8
A239	20.15	11.66	13.16666667	5.5	19.92	8.34	11.8	4.8
A239	20.15	11.66	13.16666667	5.5	23.04	6.52	11.8	4.8
A239	20.15	11.66	13.16666667	5.5	19.92	6.52	11.8	4.8
A239	20.15	11.66	13.16666667	5.5	23.04	8.34	12.6	4.8
A239	22.74	11.66	13.16666667	7	19.92	6.52	12.6	4.8
A239	22.74	11.66	13.16666667	7	23.04	8.34	11.8	4.8
A239	22.74	11.66	13.16666667	7	23.04	6.52	12.6	4.8
A239	22.74	11.66	13.16666667	7	19.92	8.34	12.6	4.8
A239	22.74	11.66	13.16666667	7	19.92	8.34	11.8	4.8
A239	22.74	11.66	13.16666667	7	23.04	6.52	11.8	4.8
A239	22.74	11.66	13.16666667	7	19.92	6.52	11.8	4.8
A239	22.74	11.66	13.16666667	7	23.04	8.34	12.6	4.8
A239	20.15	8.05	11.85	7	19.92	6.52	12.6	4.8
A239	20.15	8.05	11.85	7	23.04	8.34	11.8	4.8
A239	20.15	8.05	11.85	7	23.04	6.52	12.6	4.8
A239	20.15	8.05	11.85	7	19.92	8.34	12.6	4.8
A239	20.15	8.05	11.85	7	19.92	8.34	11.8	4.8
A239	20.15	8.05	11.85	7	23.04	6.52	11.8	4.8
A239	20.15	8.05	11.85	7	19.92	6.52	11.8	4.8
A239	20.15	8.05	11.85	7	23.04	8.34	12.6	4.8
A239	22.74	11.66	13.16666667	5.5	19.92	6.52	12.6	4.8
A239	22.74	11.66	13.16666667	5.5	23.04	8.34	11.8	4.8
A239	22.74	11.66	13.16666667	5.5	23.04	6.52	12.6	4.8
A239	22.74	11.66	13.16666667	5.5	19.92	8.34	12.6	4.8
A239	22.74	11.66	13.16666667	5.5	19.92	8.34	11.8	4.8
A239	22.74	11.66	13.16666667	5.5	23.04	6.52	11.8	4.8
A239	22.74	11.66	13.16666667	5.5	19.92	6.52	11.8	4.8
A239	22.74	11.66	13.16666667	5.5	23.04	8.34	12.6	4.8
A239	20.15	11.66	11.85	7	19.92	6.52	12.6	4.8
A239	20.15	11.66	11.85	7	23.04	8.34	11.8	4.8
A239	20.15	11.66	11.85	7	23.04	6.52	12.6	4.8
A239	20.15	11.66	11.85	7	19.92	8.34	12.6	4.8
A239	20.15	11.66	11.85	7	19.92	8.34	11.8	4.8
A239	20.15	11.66	11.85	7	23.04	6.52	11.8	4.8
A239	20.15	11.66	11.85	7	19.92	6.52	11.8	4.8
A239	20.15	11.66	11.85	7	23.04	8.34	12.6	4.8
A239	22.74	8.05	11.85	7	19.92	6.52	12.6	4.8
A239	22.74	8.05	11.85	7	23.04	8.34	11.8	4.8
A239	22.74	8.05	11.85	7	23.04	6.52	12.6	4.8
A239	22.74	8.05	11.85	7	19.92	8.34	12.6	4.8
A239	22.74	8.05	11.85	7	19.92	8.34	11.8	4.8
A239	22.74	8.05	11.85	7	23.04	6.52	11.8	4.8
A239	22.74	8.05	11.85	7	19.92	6.52	11.8	4.8
A239	22.74	8.05	11.85	7	23.04	8.34	12.6	4.8
A239	22.74	8.05	13.16666667	7	19.92	6.52	12.6	4.8
A239	22.74	8.05	13.16666667	7	23.04	8.34	11.8	4.8
A239	22.74	8.05	13.16666667	7	23.04	6.52	12.6	4.8
A239	22.74	8.05	13.16666667	7	19.92	8.34	12.6	4.8
A239	22.74	8.05	13.16666667	7	19.92	8.34	11.8	4.8
A239	22.74	8.05	13.16666667	7	23.04	6.52	11.8	4.8
A239	22.74	8.05	13.16666667	7	19.92	6.52	11.8	4.8
A239	22.74	8.05	13.16666667	7	23.04	8.34	12.6	4.8
A239	22.74	8.05	13.16666667	5.5	19.92	6.52	12.6	4.8
A239	22.74	8.05	13.16666667	5.5	23.04	8.34	11.8	4.8
A239	22.74	8.05	13.16666667	5.5	23.04	6.52	12.6	4.8
A239	22.74	8.05	13.16666667	5.5	19.92	8.34	12.6	4.8
A239	22.74	8.05	13.16666667	5.5	19.92	8.34	11.8	4.8
A239	22.74	8.05	13.16666667	5.5	23.04	6.52	11.8	4.8
A239	22.74	8.05	13.16666667	5.5	19.92	6.52	11.8	4.8
A239	22.74	8.05	13.16666667	5.5	23.04	8.34	12.6	4.8
A239	20.15	8.05	11.85	5.5	19.92	6.52	12.6	4.8
A239	20.15	8.05	11.85	5.5	23.04	8.34	11.8	4.8
A239	20.15	8.05	11.85	5.5	23.04	6.52	12.6	4.8
A239	20.15	8.05	11.85	5.5	19.92	8.34	12.6	4.8
A239	20.15	8.05	11.85	5.5	19.92	8.34	11.8	4.8
A239	20.15	8.05	11.85	5.5	23.04	6.52	11.8	4.8
A239	20.15	8.05	11.85	5.5	19.92	6.52	11.8	4.8
A239	20.15	8.05	11.85	5.5	23.04	8.34	12.6	4.8
A239	22.74	11.66	11.85	5.5	19.92	6.52	12.6	4.8
A239	22.74	11.66	11.85	5.5	23.04	8.34	11.8	4.8
A239	22.74	11.66	11.85	5.5	23.04	6.52	12.6	4.8
A239	22.74	11.66	11.85	5.5	19.92	8.34	12.6	4.8
A239	22.74	11.66	11.85	5.5	19.92	8.34	11.8	4.8
A239	22.74	11.66	11.85	5.5	23.04	6.52	11.8	4.8
A239	22.74	11.66	11.85	5.5	19.92	6.52	11.8	4.8
A239	22.74	11.66	11.85	5.5	23.04	8.34	12.6	4.8
A239	22.74	11.66	11.85	7	19.92	6.52	12.6	4.8
A239	22.74	11.66	11.85	7	23.04	8.34	11.8	4.8
A239	22.74	11.66	11.85	7	23.04	6.52	12.6	4.8
A239	22.74	11.66	11.85	7	19.92	8.34	12.6	4.8
A239	22.74	11.66	11.85	7	19.92	8.34	11.8	4.8
A239	22.74	11.66	11.85	7	23.04	6.52	11.8	4.8
A239	22.74	11.66	11.85	7	19.92	6.52	11.8	4.8
A239	22.74	11.66	11.85	7	23.04	8.34	12.6	4.8
A239	22.74	8.05	11.85	5.5	19.92	6.52	12.6	4.8
A239	22.74	8.05	11.85	5.5	23.04	8.34	11.8	4.8
A239	22.74	8.05	11.85	5.5	23.04	6.52	12.6	4.8
A239	22.74	8.05	11.85	5.5	19.92	8.34	12.6	4.8
A239	22.74	8.05	11.85	5.5	19.92	8.34	11.8	4.8
A239	22.74	8.05	11.85	5.5	23.04	6.52	11.8	4.8
A239	22.74	8.05	11.85	5.5	19.92	6.52	11.8	4.8
A239	22.74	8.05	11.85	5.5	23.04	8.34	12.6	4.8
A554	19.92	9.475	9.733333333	4.8	19.5	5.58	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.8	20.8	8.266666667	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.8	19.5	8.266666667	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.8	19.5	8.266666667	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.8	20.8	5.58	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.8	19.5	5.58	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.8	20.8	5.58	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.8	19.5	8.266666667	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.8	20.8	8.266666667	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.8	20.8	8.266666667	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.8	19.5	8.266666667	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.8	20.8	5.58	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.8	20.8	8.266666667	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.8	19.5	5.58	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.8	19.5	5.58	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.8	20.8	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	19.5	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.6	19.5	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.6	20.8	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.8	19.5	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.8	20.8	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.8	19.5	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.8	19.5	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.8	20.8	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.8	19.5	5.58	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.8	20.8	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.8	19.5	8.266666667	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.8	20.8	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.8	20.8	8.266666667	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.8	19.5	8.266666667	9.766666667	3.9
A554	21.6	5.4	9.733333333	4.8	20.8	5.58	8.333333333	5.1
A554	21.6	5.4	9.733333333	4.8	20.8	8.266666667	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.8	19.5	5.58	8.333333333	3.9
A554	21.6	5.4	9.733333333	4.8	19.5	5.58	9.766666667	5.1
A554	21.6	5.4	9.733333333	4.8	20.8	5.58	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.6	19.5	5.58	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.6	20.8	8.266666667	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.6	19.5	8.266666667	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.6	19.5	8.266666667	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.6	20.8	5.58	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.6	19.5	5.58	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.6	20.8	5.58	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.6	19.5	8.266666667	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.6	20.8	8.266666667	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.6	20.8	8.266666667	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.6	19.5	8.266666667	9.766666667	3.9
A554	19.92	9.475	9.733333333	4.6	20.8	5.58	8.333333333	5.1
A554	19.92	9.475	9.733333333	4.6	20.8	8.266666667	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.6	19.5	5.58	8.333333333	3.9
A554	19.92	9.475	9.733333333	4.6	19.5	5.58	9.766666667	5.1
A554	19.92	9.475	9.733333333	4.6	20.8	5.58	8.333333333	3.9
A554	21.6	9.475	9.733333333	4.6	19.5	5.58	8.333333333	5.1
A554	21.6	9.475	9.733333333	4.6	20.8	8.266666667	9.766666667	5.1
