Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
Va99,21.1,16.15,13.68571429,4.3
Va99,21.1,16.15,13.68571429,4.7
W153R,19.65,14.75,8.371428571,5.3
W153R,22.2,14.75,12.6,5.3
W153R,22.2,14.75,8.371428571,5.3
W153R,19.65,5.05,8.371428571,5.3
W153R,19.65,14.75,12.6,5.3
W153R,22.2,5.05,12.6,5.3
W153R,22.2,5.05,8.371428571,5.3
W153R,19.65,5.05,12.6,5.3
W182B,20.18,14.5,14.58333333,3.5
W182B,20.18,14.5,14.58333333,3.3
W182B,20.18,13.26,14.75,3.5
W182B,20.18,13.26,14.75,3.3
W182B,20.18,13.26,14.58333333,3.5
W182B,20.18,13.26,14.58333333,3.3
W182B,20.18,14.5,14.75,3.5
W182B,20.18,14.5,14.75,3.3
W182B,20.58,14.5,14.58333333,3.5
W182B,20.58,14.5,14.58333333,3.3
W182B,20.58,13.26,14.75,3.5
W182B,20.58,13.26,14.75,3.3
W182B,20.58,13.26,14.58333333,3.5
W182B,20.58,13.26,14.58333333,3.3
W182B,20.58,14.5,14.75,3.5
W182B,20.58,14.5,14.75,3.3
W401,20.83333333,10.03333333,12.65,3.7
W401,19.2,5.8,12.16,3.7
W401,19.2,10.03333333,12.65,3.7
W401,20.83333333,10.03333333,12.16,3.7
W401,19.2,5.8,12.65,3.7
W401,20.83333333,5.8,12.65,3.7
W401,20.83333333,5.8,12.16,3.7
W401,19.2,10.03333333,12.16,3.7
W64A,25.5,13.56666667,8.1,4.1
W64A,25.5,13.56666667,8.1,3.5
W64A,25.5,13.56666667,12.63333333,4.1
W64A,25.5,13.56666667,12.63333333,3.5
W64A,25.5,14.76666667,8.1,4.1
W64A,25.5,14.76666667,8.1,3.5
W64A,25.5,14.76666667,12.63333333,4.1
W64A,25.5,14.76666667,12.63333333,3.5
W64A,26.35,13.56666667,8.1,4.1
W64A,26.35,13.56666667,8.1,3.5
W64A,26.35,13.56666667,12.63333333,4.1
W64A,26.35,13.56666667,12.63333333,3.5
W64A,26.35,14.76666667,8.1,4.1
W64A,26.35,14.76666667,8.1,3.5
W64A,26.35,14.76666667,12.63333333,4.1
W64A,26.35,14.76666667,12.63333333,3.5
Wf9,22.06,9.875,18.25714286,4.4
Wf9,22.06,9.875,10.66666667,4.4
Wf9,22.06,8.86,18.25714286,4.4
Wf9,22.06,8.86,10.66666667,4.4
Wf9,21.25,9.875,18.25714286,4.4
Wf9,21.25,9.875,10.66666667,4.4
Wf9,21.25,8.86,18.25714286,4.4
Wf9,21.25,8.86,10.66666667,4.4
