Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
B109,24.65,12.05,13.93333333,5.8
B109,27.225,12.05,14.88333333,4.7
B109,27.225,12.05,14.88333333,5.8
B164,20.66666667,30.66666667,15.95,4.7
B164,21.93333333,30.66666667,15.95,4.7
B164,21.93333333,30.66666667,14.71666667,4.7
B164,21.93333333,13.8,14.71666667,4.7
B164,20.66666667,30.66666667,14.71666667,4.7
B164,20.66666667,13.8,14.71666667,4.7
B164,21.93333333,13.8,15.95,4.7
B164,20.66666667,13.8,15.95,4.7
B37,23.75,7.3,15.34285714,5.4
B37,23.75,7.3,15.34285714,5.2
B37,18.2,7.3,11.65,5.4
B37,18.2,7.3,11.65,5.2
B37,23.75,16.675,15.34285714,5.4
B37,23.75,16.675,15.34285714,5.2
B37,18.2,7.3,15.34285714,5.4
B37,18.2,7.3,15.34285714,5.2
B37,23.75,7.3,11.65,5.4
B37,23.75,7.3,11.65,5.2
B37,23.75,16.675,11.65,5.4
B37,23.75,16.675,11.65,5.2
B37,18.2,16.675,15.34285714,5.4
B37,18.2,16.675,15.34285714,5.2
B37,18.2,16.675,11.65,5.4
B37,18.2,16.675,11.65,5.2
B46,22.9,19.42,17.78333333,5.9
B46,22.9,19.42,17.2,5.9
B46,22.93333333,14.7,17.78333333,5.9
B46,22.9,14.7,17.2,5.9
B46,22.93333333,19.42,17.78333333,5.9
B46,22.9,14.7,17.78333333,5.9
B46,22.93333333,14.7,17.2,5.9
B46,22.93333333,19.42,17.2,5.9
B57,23.575,13.3,13.43333333,5.7
B57,24.46666667,13.3,12.08333333,5.7
B57,24.46666667,11.3,12.08333333,5.7
B57,23.575,13.3,12.08333333,5.7
B57,24.46666667,13.3,13.43333333,5.7
B57,23.575,11.3,13.43333333,5.7
B57,24.46666667,11.3,13.43333333,5.7
B57,23.575,11.3,12.08333333,5.7
B64,,8.966666667,14.88333333,4.7
B64,,8.966666667,14.88333333,4.1
B64,19.73333333,8.966666667,14.05714286,4.7
B64,19.73333333,8.966666667,14.05714286,4.1
B64,,8.966666667,14.05714286,4.7
B64,,8.966666667,14.05714286,4.1
B64,19.73333333,8.966666667,14.88333333,4.7
B64,19.73333333,8.966666667,14.88333333,4.1
B68,22.85,18.3,17.98333333,4.4
B68,,18.3,17.98333333,4.4
B68,,18.3,17.85,4.4
B68,22.85,18.3,17.85,4.4
B73,25.1,7.85,12.74285714,4.1
B73,25.1,7.85,14.2,4.1
B73,24.25,7.9,14.2,4.1
B73,25.1,7.9,14.2,4.1
B73,25.1,7.9,12.74285714,4.1
B73,24.25,7.9,12.74285714,4.1
B73,24.25,7.85,14.2,4.1
B73,24.25,7.85,12.74285714,4.1
B75,15.7,-0.7,12.33333333,6.8
B75,15.7,-0.7,12.33333333,5.9
B75,15.7,3.25,12.71666667,6.8
B75,15.7,3.25,12.71666667,5.9
B75,16.68333333,-0.7,12.33333333,6.8
B75,16.68333333,-0.7,12.33333333,5.9
B75,15.7,-0.7,12.71666667,6.8
B75,15.7,-0.7,12.71666667,5.9
B75,16.68333333,-0.7,12.71666667,6.8
B75,16.68333333,-0.7,12.71666667,5.9
B75,15.7,3.25,12.33333333,6.8
B75,15.7,3.25,12.33333333,5.9
B75,16.68333333,3.25,12.33333333,6.8
B75,16.68333333,3.25,12.33333333,5.9
B75,16.68333333,3.25,12.71666667,6.8
B75,16.68333333,3.25,12.71666667,5.9
B76,25.25,11,12.76666667,6.4
B76,25.25,13.925,13.41666667,6.4
B76,25.25,13.925,12.76666667,6.4
B76,25.625,11,12.76666667,6.4
B76,25.625,13.925,12.76666667,6.4
B76,25.625,13.925,13.41666667,6.4
B76,25.25,11,13.41666667,6.4
B76,25.625,11,13.41666667,6.4
B77,18.86666667,10.775,15.33333333,5
B77,21.775,8.033333333,15.33333333,5
B77,21.775,8.033333333,9.975,5
B77,21.775,10.775,9.975,5
B77,21.775,10.775,15.33333333,5
B77,18.86666667,8.033333333,15.33333333,5
